n,r,m
"(:Node:ENTITAS_KEAGAMAAN {name: dewa wishnu, id: dewa_wishnu, TIDUR_DI: [atas samudra dialasi dan dipayungi naga/ular cobra berkepala banyak]})","[:MENDAPATKAN {raw_relation: MENDAPATKAN, sentence_id: 3651, confidence: LOW}]","(:Node:KONSEP_FILOSOFIS {name: tirtha amertha, id: tirtha_amertha})"
"(:Node:ISTILAH_UMUM_RITUAL {name: dua kata, id: dua_kata})","[:ADALAH {raw_relation: ADALAH, sentence_id: 788, confidence: LOW}]","(:Node:KONSEP_FILOSOFIS {MEWUJUDKAN: [bayangan diri dalam air ening], aliases: [atma pitara, pitra dalam ngangsen, pitra mendiang], MENINGKAT_KEDUDUKAN_MENJADI: [bhatara atau bhatari sejak selesainya patileman], DIBUATKAN: [perlambang yang disebut sekah kangsen], MENYAKSIKAN: [anak cucunya melakukan upacara manusa yadnya tersebut], BARU_LEPAS_PERTALIAN_DENGAN: [stulasarira nya], MENERIMA: [dua buah daksina tapakan dibuat untuknya], DAPAT_MEMASUKI: [alam bwah loka tumpuan menuju alam swah loka], MENGELUPASI: [suksmasarira yang merupakan kulit dirinya], name: pitra, definition: atma yang masih bersuksmasarira, id: pitra, MEMAKAI: [wujud tersebut selaku pralingga perlambang diri yang dihuni]})"
"(:Node:ISTILAH_UMUM_RITUAL {name: dua kata, id: dua_kata})","[:ADALAH {raw_relation: ADALAH, sentence_id: 788, confidence: MED}]","(:Node:KONSEP_FILOSOFIS {HARUS_DIRASAKAN_SEBAGAI: [beban bagi pemikulnya], name: yadnya, id: yadnya, BERDASARKAN: [keikhlasan hati, kemulusan, kesungguhan, penuh kesanggupan]})"
"(:Node:ISTILAH_UMUM_RITUAL {name: emas, id: emas, BERWARNA: [kuning]})","[:BERDEWA {raw_relation: BERDEWA, sentence_id: 3757, confidence: LOW}]","(:Node:ENTITAS_KEAGAMAAN {name: dewa mahadewa, id: dewa_mahadewa})"
"(:Node:SARANA_RITUAL {aliases: [eteh-eteh sawa], BERUPA: [bunga, kain kuning untuk saput atau selendang, kain putih untuk bantal berisi pis bolong 11 kepeng, kamben, pangulungan, rantasan kain putih kuning dan kain anyar, sabuk, tapih, tatindih], name: eteh-eteh, id: eteh_eteh})","[:BERUPA {raw_relation: BERUPA, sentence_id: 344, confidence: MED}]","(:Node:SARANA_RITUAL {name: kain putih untuk saput, id: kain_putih_untuk_saput})"
"(:Node:SARANA_RITUAL {aliases: [eteh-eteh sawa], BERUPA: [bunga, kain kuning untuk saput atau selendang, kain putih untuk bantal berisi pis bolong 11 kepeng, kamben, pangulungan, rantasan kain putih kuning dan kain anyar, sabuk, tapih, tatindih], name: eteh-eteh, id: eteh_eteh})","[:BERUPA {raw_relation: BERUPA, sentence_id: 344, confidence: MED}]","(:Node:SARANA_RITUAL {DILETAKKAN_DI: [hulu hati, kedua lutut kaki], BERISI: [lima buah lembaran-lembaran daun sirih, bunga tunjung putih, pusuh bunga cempaka kuning], DIIKAT_DENGAN: [tali benang], DIISI_DENGAN: [bawang putih sebagai lambang kuku di ujungnya], name: kawangen, DIISI: [11 kepeng ditaruh pada setiap persendian/buku-buku, 25 kepeng untuk pebaktian jenazah ditaruh di dada, seolah-olah dipegang oleh tangan jenazah], id: kawangen, MELAMBANGKAN: [tanda doa restu, sikap amusti karana seolah-olah layon ikut sembahyang]})"
"(:Node:SARANA_RITUAL {aliases: [eteh-eteh sawa], BERUPA: [bunga, kain kuning untuk saput atau selendang, kain putih untuk bantal berisi pis bolong 11 kepeng, kamben, pangulungan, rantasan kain putih kuning dan kain anyar, sabuk, tapih, tatindih], name: eteh-eteh, id: eteh_eteh})","[:BERUPA {raw_relation: BERUPA, sentence_id: 344, confidence: MED}]","(:Node:SARANA_RITUAL {name: leluwur, id: leluwur})"
"(:Node:SARANA_RITUAL {aliases: [eteh-eteh sawa], BERUPA: [bunga, kain kuning untuk saput atau selendang, kain putih untuk bantal berisi pis bolong 11 kepeng, kamben, pangulungan, rantasan kain putih kuning dan kain anyar, sabuk, tapih, tatindih], name: eteh-eteh, id: eteh_eteh})","[:BERUPA {raw_relation: BERUPA, sentence_id: 344, confidence: MED}]","(:Node:SARANA_RITUAL {name: samsam, id: samsam})"
"(:Node:SARANA_RITUAL {aliases: [eteh-eteh sawa], BERUPA: [bunga, kain kuning untuk saput atau selendang, kain putih untuk bantal berisi pis bolong 11 kepeng, kamben, pangulungan, rantasan kain putih kuning dan kain anyar, sabuk, tapih, tatindih], name: eteh-eteh, id: eteh_eteh})","[:BERUPA {raw_relation: BERUPA, sentence_id: 344, confidence: MED}]","(:Node:SARANA_RITUAL {name: udeng, id: udeng})"
"(:Node:SARANA_RITUAL {aliases: [eteh-eteh sawa], BERUPA: [bunga, kain kuning untuk saput atau selendang, kain putih untuk bantal berisi pis bolong 11 kepeng, kamben, pangulungan, rantasan kain putih kuning dan kain anyar, sabuk, tapih, tatindih], name: eteh-eteh, id: eteh_eteh})","[:BERUPA {raw_relation: BERUPA, sentence_id: 344, confidence: MED}]","(:Node:SARANA_RITUAL {name: angkeb baga/purus, id: angkeb_baga_purus})"
